Team 1,Team 2,Winner,Margin,Ground,Match Date,Match_id
India,Australia,Australia,6 wickets,Ahmedabad,19-11-2023,ODI # 4705
Australia,South Africa,Australia,3 wickets,Eden Gardens,16-11-2023,ODI # 4704
India,New Zealand,India,70 runs,Wankhede,15-11-2023,ODI # 4703
India,Netherlands,India,160 runs,Bengaluru,12-11-2023,ODI # 4702
England,Pakistan,England,93 runs,Eden Gardens,11-11-2023,ODI # 4701
Australia,Bangladesh,Australia,8 wickets,Pune,11-11-2023,ODI # 4700
Afghanistan,South Africa,South Africa,5 wickets,Ahmedabad,10-11-2023,ODI # 4699
New Zealand,Sri Lanka,New Zealand,5 wickets,Bengaluru,09-11-2023,ODI # 4698
England,Netherlands,England,160 runs,Pune,08-11-2023,ODI # 4697
Afghanistan,Australia,Australia,3 wickets,Wankhede,07-11-2023,ODI # 4696
Bangladesh,Sri Lanka,Bangladesh,3 wickets,Delhi,06-11-2023,ODI # 4695
India,South Africa,India,243 runs,Eden Gardens,05-11-2023,ODI # 4694
Australia,England,Australia,33 runs,Ahmedabad,04-11-2023,ODI # 4693
New Zealand,Pakistan,Pakistan,21 runs,Bengaluru,04-11-2023,ODI # 4692
Afghanistan,Netherlands,Afghanistan,7 wickets,Lucknow,03-11-2023,ODI # 4691
India,Sri Lanka,India,302 runs,Wankhede,02-11-2023,ODI # 4690
New Zealand,South Africa,South Africa,190 runs,Pune,01-11-2023,ODI # 4689
Bangladesh,Pakistan,Pakistan,7 wickets,Eden Gardens,31-10-2023,ODI # 4688
Afghanistan,Sri Lanka,Afghanistan,7 wickets,Pune,30-10-2023,ODI # 4687
India,England,India,100 runs,Lucknow,29-10-2023,ODI # 4686
Bangladesh,Netherlands,Netherlands,87 runs,Eden Gardens,28-10-2023,ODI # 4685
Australia,New Zealand,Australia,5 runs,Dharamsala,28-10-2023,ODI # 4684
Pakistan,South Africa,South Africa,1 wicket,Chennai,27-10-2023,ODI # 4683
England,Sri Lanka,Sri Lanka,8 wickets,Bengaluru,26-10-2023,ODI # 4682
Australia,Netherlands,Australia,309 runs,Delhi,25-10-2023,ODI # 4681
Bangladesh,South Africa,South Africa,149 runs,Wankhede,24-10-2023,ODI # 4680
Afghanistan,Pakistan,Afghanistan,8 wickets,Chennai,23-10-2023,ODI # 4679
India,New Zealand,India,4 wickets,Dharamsala,22-10-2023,ODI # 4678
England,South Africa,South Africa,229 runs,Wankhede,21-10-2023,ODI # 4677
Netherlands,Sri Lanka,Sri Lanka,5 wickets,Lucknow,21-10-2023,ODI # 4676
Australia,Pakistan,Australia,62 runs,Bengaluru,20-10-2023,ODI # 4675
India,Bangladesh,India,7 wickets,Pune,19-10-2023,ODI # 4674
Afghanistan,New Zealand,New Zealand,149 runs,Chennai,18-10-2023,ODI # 4673
Netherlands,South Africa,Netherlands,38 runs,Dharamsala,17-10-2023,ODI # 4672
Australia,Sri Lanka,Australia,5 wickets,Lucknow,16-10-2023,ODI # 4671
Afghanistan,England,Afghanistan,69 runs,Delhi,15-10-2023,ODI # 4670
India,Pakistan,India,7 wickets,Ahmedabad,14-10-2023,ODI # 4669
Bangladesh,New Zealand,New Zealand,8 wickets,Chennai,13-10-2023,ODI # 4668
Australia,South Africa,South Africa,134 runs,Lucknow,12-10-2023,ODI # 4667
India,Afghanistan,India,8 wickets,Delhi,11-10-2023,ODI # 4666
Pakistan,Sri Lanka,Pakistan,6 wickets,Hyderabad,10-10-2023,ODI # 4665
Bangladesh,England,England,137 runs,Dharamsala,10-10-2023,ODI # 4664
Netherlands,New Zealand,New Zealand,99 runs,Hyderabad,09-10-2023,ODI # 4663
India,Australia,India,6 wickets,Chennai,08-10-2023,ODI # 4662
South Africa,Sri Lanka,South Africa,102 runs,Delhi,07-10-2023,ODI # 4661
Afghanistan,Bangladesh,Bangladesh,6 wickets,Dharamsala,07-10-2023,ODI # 4660
Netherlands,Pakistan,Pakistan,81 runs,Hyderabad,06-10-2023,ODI # 4659
England,New Zealand,New Zealand,9 wickets,Ahmedabad,05-10-2023,ODI # 4658
